Name,CAS,Phase,Tchar,thetachar,DeltaCp,phi0,Source,Cat_1,Cat_2,Cat_3,Cat_4
Methyl linolelaidate,2566-97-4,Rxi17SilMS,247.19,32.817,108.96,0.001,Brehmer2022,FAME,unsaturated FAME,,
Methyl linoleate,112-63-0,Rxi17SilMS,247.54,31.979,102.34,0.001,Brehmer2022,FAME,unsaturated FAME,,
Methyl arachidate,1120-28-1,Rxi17SilMS,262.19,32.166,116.13,0.001,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl gamma linolenate,132029-16-4,Rxi17SilMS,247.93,33.017,100.91,0.001,Brehmer2022,FAME,,,
Methyl cis-11-eicosenoate,2390-09-2,Rxi17SilMS,263.07,32.798,118.95,0.001,Brehmer2022,FAME,unsaturated FAME,,
Methyl alpha linolenate,301-00-8,Rxi17SilMS,250.18,33.027,106.15,0.001,Brehmer2022,FAME,,,
Methyl heneicosanoate,6064-90-0,Rxi17SilMS,270.58,32.218,116.07,0.001,Brehmer2022,FAME,saturated FAME,FAMEs,
"cis-11,14-Eicosadienoic acid methyl ester",61012-46-2,Rxi17SilMS,265.13,32.894,104.53,0.001,Brehmer2022,FAME,unsaturated FAME,,
Methyl behenate,929-77-1,Rxi17SilMS,278.61,32.186,113.23,0.001,Brehmer2022,FAME,saturated FAME,FAMEs,
"cis-8,11,14-Eicosatrienoic acid methyl ester",21061-10-9,Rxi17SilMS,265.89,33.318,103.97,0.001,Brehmer2022,FAME,unsaturated FAME,,
Methyl erucate,1120-34-9,Rxi17SilMS,279.54,33.134,163.62,0.001,Brehmer2022,FAME,unsaturated FAME,,
"cis-11,14,17-Eicosatrienoic acid methyl ester",55682-88-7,Rxi17SilMS,268.05,33.184,105.86,0.001,Brehmer2022,FAME,unsaturated FAME,,
"cis-5,8,11,14-Eicosatetraenoic acid methyl ester",7771-44-0,Rxi17SilMS,266.29,33.502,94.808,0.001,Brehmer2022,FAME,unsaturated FAME,,
Methyl tricosanoate,2433-97-8,Rxi17SilMS,286.49,32.44,122.25,0.001,Brehmer2022,FAME,saturated FAME,FAMEs,
"cis-13,16-Docosadienoic acid methyl ester",61012-47-3,Rxi17SilMS,281.68,33.017,109.71,0.001,Brehmer2022,FAME,unsaturated FAME,,
Methyl lignocerate,2442-49-1,Rxi17SilMS,294.06,32.608,127.31,0.001,Brehmer2022,FAME,saturated FAME,,
"cis-5,8,11,14,17-Eicosapentaenoic acid methyl ester",2734-47-6,Rxi17SilMS,268.28,31.967,13.169,0.001,Brehmer2022,FAME,unsaturated FAME,,
Methyl nervonate,2733-88-2,Rxi17SilMS,295.09,32.844,105.06,0.001,Brehmer2022,FAME,unsaturated FAME,,
"cis-4,7,10,13,16,19-Docosahexaenoic acid methyl ester",301-01-9,Rxi17SilMS,286.57,34.259,101.79,0.001,Brehmer2022,FAME,unsaturated FAME,,
Methyl butyrate,623-42-7,Rxi5ms,69.687,30.863,48.166,0.002,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl hexanoate,106-70-7,Rxi5ms,114.38,33.075,66.011,0.002,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl octanoate,111-11-5,Rxi5ms,151.9,35.407,98.571,0.002,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl decanoate,110-42-9,Rxi5ms,184.87,37.147,113.68,0.002,Brehmer2022,FAME,Grob,FAMEs,saturated FAME
Methyl undecanoate,1731-86-8,Rxi5ms,199.74,38.015,126.4,0.002,Brehmer2022,FAME,Grob,FAMEs,saturated FAME
Methyl laurate,111-82-0,Rxi5ms,213.76,38.648,132.03,0.002,Brehmer2022,FAME,Grob,FAMEs,saturated FAME
 Methyl tridecanoate,1731-88-0,Rxi5ms,227.01,39.183,136.47,0.002,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl myristate,124-10-7,Rxi5ms,239.52,39.6,136.81,0.002,Brehmer2022,FAME,saturated FAME,FAMEs,
Methyl myristoleate,92857-33-5,Rxi5ms,238.72,39.97,133.36,0.002,Brehmer2022,FAME,unsaturated FAME,,
