Name,CAS,Phase,Tchar,thetachar,DeltaCp,phi0,Source,Cat_1,Cat_2,Cat_3
Benzyl alcohol,100-51-6,Rxi17SilMS,128.55,32.027,94.27,0.001,Brehmer2022,allergenic fragrances,alcohol,aromatic
Phenyl acetate,122-79-2,Rxi17SilMS,130.06,30.902,95.94,0.001,Brehmer2022,ester,aromatic,
3-Methylphenol,108-39-4,Rxi17SilMS,130.37,31.593,96.071,0.001,Brehmer2022,aromatic,,
4-Methylphenol,106-44-5,Rxi17SilMS,130.58,31.808,101.45,0.001,Brehmer2022,aromatic,,
1-Phenyl ethanol,98-85-1,Rxi17SilMS,130.84,31.907,94.451,0.001,Brehmer2022,alcohol,aromatic,
Nonanol,143-8-8,Rxi17SilMS,133.6,32.935,165.13,0.001,Brehmer2022,alcohol,,
Acetophenone,98-86-2,Rxi17SilMS,135.77,32.483,89.831,0.001,Brehmer2022,aromatic,ketone,phenones
Methyl benzoate,93-58-3,Rxi17SilMS,136.74,32.209,89.138,0.001,Brehmer2022,ester,aromatic,
"2,6-Dimethylphenol",576-26-1,Rxi17SilMS,138.07,32.804,91.757,0.001,Brehmer2022,aromatic,Grob,
2-Decanone,693-54-9,Rxi17SilMS,139.58,33.934,177.88,0.001,Brehmer2022,ketone,alkanones,
Nitrobenzene,98-95-3,Rxi17SilMS,142.41,33.845,78.903,0.001,Brehmer2022,aromatic,,
1-Phenyl-2-propanol,698-87-3,Rxi17SilMS,142.5,32.777,94.087,0.001,Brehmer2022,aromatic,alcohol,
"3,5-Dimethylphenol",108-68-9,Rxi17SilMS,146.21,32.446,100.42,0.001,Brehmer2022,aromatic,,
2-Nitrophenol,88-75-5,Rxi17SilMS,147.83,34.336,84.424,0.001,Brehmer2022,aromatic,,
Decanol,112-30-1,Rxi17SilMS,149.1,33.298,159.25,0.001,Brehmer2022,alcohol,alcohols,
2-Chloroaniline,95-51-2,Rxi17SilMS,149.33,34.452,85.919,0.001,Brehmer2022,aromatic,amine,
Methyl decanoate,110-42-9,Rxi17SilMS,152.75,29.945,116.14,0.001,Brehmer2022,FAME,Grob,saturated FAME
2-Undecanone,112-12-9,Rxi17SilMS,154.13,34.483,204.75,0.001,Brehmer2022,ketone,alkanones,
Propiophenone,93-55-0,Rxi17SilMS,154.16,36.408,132.02,0.001,Brehmer2022,phenone,phenones,
Undecanol,112-42-5,Rxi17SilMS,163.77,34.15,172.93,0.001,Brehmer2022,alcohol,alcohols,
Butyrophenone,495-40-9,Rxi17SilMS,166.13,36.616,130.14,0.001,Brehmer2022,phenone,phenones,
Methyl undecanoate,1731-86-8,Rxi17SilMS,166.41,30.466,120.23,0.001,Brehmer2022,FAME,Grob,saturated FAME
2-Dodecanone,6175-49-1,Rxi17SilMS,168.17,34.454,182.67,0.001,Brehmer2022,ketone,alkanones,
Dodecanol,112-53-8,Rxi17SilMS,177.53,34.954,178.63,0.001,Brehmer2022,alcohol,alcohols,
Methyl laurate,111-82-0,Rxi17SilMS,179.4,30.899,118.02,0.001,Brehmer2022,FAME,Grob,saturated FAME
